columnName,status,effectiveClusterCount,clusterVersion
name,SUCCEEDED,2,d18e10eb737d17eb62c1772087168cbc408c566a828d7fdbb899ff78b4c30386
age,SUCCEEDED,2,897524436f2ccb0471ec8a6867d567b79b7aaad21338074f9a978266b863f569
phone,SUCCEEDED,2,ad8e2274c22c97c937559614e36e47af7759dbced761215df2739d0df4d0c517
id_card,SUCCEEDED,2,d7b8ed82a99b5d0616d35816ed49a2050423ded6dfbcbffefc48f32b58783fe5
email,SUCCEEDED,2,66b459a49144b0571c10659c7f7d60b286eac5ad20fc995e11af7fa109b83f9a
home_address,SUCCEEDED,2,3b21424b66015792a4eac0cace07584cc26a42dac69a2287aad36f0a2f39d1aa
